"","itens"
"257","DETERGENTE LIQUIDO CONCENTRADO,P/LIMPEZA PESADA,C/TAMPA DOSADORA,500ML*"
"258","DETERGENTE LIQUIDO,INSTANTANEO,P/LIMPEZA GERAL,MULTIUSO,FRASCO 500 ML*"
"259","DETERGENTE LIQUIDO, NEUTRO, BIODEGRADAVEL, 5 LITROS"
"260","DETERGENTE PARA LIMPEZA DE PISOS NEUTRO,USO DIARIO,P/PISOS C/ACABAMENTO ACRILICO"
"261","DETERGENTE PARA LIMPEZA DE PISOS REMOVEDOR DE CERAS E IMPERABILIZANTE,EMB.C/05LITROS"
"262","DESENTUPIDOR LIQUIDO"
"263","DISCO PARA ENCERADEIRA 510MM DE DIAMETRO, BRANCO"
"264","DISCO PARA ENCERADEIRA 510MM DE DIAMETRO, PRETO"
"265","DISCO PARA ENCERADEIRA COM 350MM DE DIAMETRO"
"266","DISCO PARA ENCERADEIRA DISCO PARA ENCERADEIRA ABRASIVO, PRETO, 350 MM DEDIAMETRO"
"267","DISCO PARA ENCERADEIRA LIMPEZA VERDE 410MM"
"268","DISCO PARA ENCERADEIRA LUSTRADOR MED.350MM DIAMETRO, COR BRANCA"
"269","ESCOVA PARA LIMPEZA COM CERDAS DE NYLON"
"270","ESCOVA PARA LIMPEZA COM CERDAS DE NYLON,MED.10 A 12 CM DE COMP. *"
"271","ESCOVA PARA LIMPEZA DE BALOES VOLUMETRICOS DE 250ML"
"272","ESCOVA PARA LIMPEZA DE GARRAFA TERMICA"
"273","ESCOVA PARA LIMPEZA DE INSTRUMENTAL CIRURGICO,MED.35 CM DE DIAMETRO DE 11MM"
"274","ESCOVA PARA LIMPEZA DE MAMADEIRA E BICO,COM CABO EM POLIPROPILENO *"
"275","ESCOVA PARA LIMPEZA DE TUBOS DE ENSAIO, 05MM DIAMETRO X 28CM DE COMPRIMENTO"
"276","ESCOVA PARA LIMPEZA DE VASO SANITARIO,COM CERDAS DE NYLON.*"
"277","ESCOVA PARA LIMPEZA EM KG"
"278","ESCOVA PARA LIMPEZA DE ENDOSCOPIO,CANAL DE TRABALHO DE 2,8MM"
"279","ESCOVA PARA LIMPEZA DE INSTRUMENTAL CIRURGICO,MED.35 CM, 2,5 MM"
"280","ESCOVA PARA LIMPEZA DE INSTRUMENTO CIRURGICO MED.35 CM DIAMETRO 7 MM"
"281","ESCOVA PARA LIMPEZA PARA BALOES DE FUNDO CHATO DE 12LITROS"
"282","ESCOVA PARA LIMPEZA PARA TUBOS DE ENSAIO"
"283","ESCOVAO PARA LIMPEZA COM CERDAS DE NYLON E CABO DE APROX.1,20 M *"
"284","ESFREGAO DE FIBRA SINTETICA PARA LIMPEZA DE PANELAS *"
"285","ESGUICHO REGULAVEL PARA MANGUEIRA DE ALTA PRESSAO"
"286","ESPONJA DE ACO PARA LIMPEZA*"
"287","ESPONJA PARA LIMPEZA DUPLA FACE, COM MATERIAL ABRASIVO *"
"288","ESTOPA BRANCA EMBALAGEM 500G"
"289","FLANELA PARA LIMPEZA FLANELA P/ LIMPEZA EM ALGODAO NA COR BRANCA MED. 30X40CM"
"290","FLANELA PARA LIMPEZA PELUCIADA,COM BORDAS CHULEADAS,MED.APROX.0,60X0,40 METROS*"
"291","IMPERMEABILIZANTE PARA PISOS METALIZANTE-EMBALAGEM COM 5 LITROS  (DET.)*"
"292","LA DE ACO TIPO BOM-BRIL EMBALAGEM COM 8 UNIDADES*"
"293","LIMPA VIDRO EM EMBALAGEM DE 500 ML*"
"294","LUSTRA MOVEIS CREMOSO EMBALAGEM DE 200 ML APROXIMADAMENTE.*"
"295","LUVA DE BORRACHA PARA LIMPEZA TAMANHO GRANDE *"
"296","LUVA DE BORRACHA PARA LIMPEZA TAMANHO MEDIO *"
"297","LUVA DE BORRACHA PARA LIMPEZA TAMANHO PEQUENO *"
"298","LUVA PARA LIMPEZA NITRILICA, TAMANHO G"
"299","LUVA PARA LIMPEZA NITRILICA, TAMANHO M"
"300","LUVA PARA LIMPEZA NITRILICA, TAMANHO P"
"301","MAQUINA SECADORA DE ROUPA 200 VOLTS"
"302","MAQUINA SECADORA DE ROUPA REFERENCIAL L-2400, VAZAO C/2400 LITROS"
"303","MOP PO COMPLETO, COM CABO,SUPORTE E ESTRUTURA DE ACRILICO DE 60CM"
"304","MOP UMIDO COMPLETO, COM CABO DE ALUMINIO,MANOPLA E SUPORTE"
"305","PA PARA LIXO DE PLASTICO*"
"306","PANO DE COPA EM TECIDO DE ALGODAO, MED 0,70X0,50 M*"
