"","itens"
"9582","ANTITUSSIGENOS,EXPECTORANTES E FLUIDIFICANTES. ACETILCISTEINA 600MG SACHE"
"9583","ANTITUSSIGENOS,EXPECTORANTES E FLUIDIFICANTES. CISTEINA, N ACETIL 100MG/ML,"
"9584",""
"9585","SOLUCAO INJETAVEL, AMPOLA 3ML"
"9586","ANTITUSSIGENOS,EXPECTORANTES E FLUIDIFICANTES. POTASSIO, IODETO 2%, 20MG/ML,"
"9587",""
"9588","XAROPE, FRASCO 100 A 120ML"
"9589","ANTIULCEROSOS ALUMIN. ,HIDROXIDO + MAGNESIO, HIDROXIDO + SIMETICONA (DET.)"
"9590","ANTIULCEROSOS ALUMINIO HIDROXIDO - SUSP. ORAL (FR. 150 A 240ML.)"
"9591","ANTIULCEROSOS CIMETIDINA - 150 MG/ML AMPOLA 2ML"
"9592","ANTIULCEROSOS MISOPROSTOL 25MCG USO INTRAVAGINAL EXCLUSIVO COM. VAG.(CONTR"
"9593","ANTIULCEROSOS MISOPROSTOL EXCLUSIVO - 200 MCG. COMPRIMIDO VAGINAL (CONTR)"
"9594","ANTIULCEROSOS OMEPRAZOL  20MG, CAPSULA"
"9595","ANTIULCEROSOS OMEPRAZOL 5MG/ML FR 30ML"
"9596","ANTIULCEROSOS OMEPRAZOL IV 40MG,PO LIOFILO INJETAVEL,FRASCO-AMPOLA"
"9597","ANTIULCEROSOS RANITIDINA, CLORIDRATO 150 MG"
"9598","ANTIULCEROSOS RANITIDINA, CLORIDRATO 50MG/2ML,25MG/ML,AMP. 2ML"
"9599","ANTIULCEROSOS RANITIDINA,CLORIDRATO 15MG/ML,SOLUCAO ORAL,FR. 100 A 120 ML"
"9600","ANTIVERTIGINOSOS DIMENIDRINATO - PIRIDOXINA + VIT. B6 (AMP. 10ML)"
"9601","ANTIVERTIGINOSOS DIMENIDRINATO + PIRIDOXINA 50 MG + 10 MG COMPRIMIDO"
"9602","ANTIVERTIGINOSOS DIMENIDRINATO 25MG/ML+CLORIDRATO PIRIDOXINA 5MG/ML SOL.20ML"
"9603","ANTIVERTIGINOSOS DIMENIDRINATO 50MG/ML+CLORIDRATO PIRIDOXINA 50MG/ML IM 1ML"
"9604","ANTIVIRAIS ACICLOVIR 200 MG"
"9605","ANTIVIRAIS ACICLOVIR 250 MG, PÎ LIÎFILO INJETAVEL"
"9606","ANTIVIRAIS ACICLOVIR 3%, 30 MG/G, POMADA OFTALMICA, BISNAGA 4,5 G"
"9607","ANTIVIRAIS ACICLOVIR 40 MG/ML, SUSPENSAO ORAL, FRASCO 50 ML"
"9608","ANTIVIRAIS ACICLOVIR 5%, 50 MG/G, CREME, BISNAGA 5 A 15 G"
"9609","ANTIVIRAIS ENTECAVIR 0,5MG"
"9610","ANTIVIRAIS GANCICLOVIR 500 MG, PÎ LIÎFILO INJETAVEL"
"9611","ANTIVIRAIS GANCICLOVIR SODICO 1 MG/ML, SOLUCAO INJETAVEL, BOLSA 100 ML"
"9612","ANTIVIRAIS GANCICLOVIR SODICO 1 MG/ML, SOLUÇÃO INJETAVEL, BOLSA 250ML"
"9613","ANTIVIRAIS TENOFOVIR 300MG"
"9614","ASSOCIACAO DE ANALGESICOS PARACETAMOL 500 MG + CODEINA 30 MG*"
"9615","BLOQUEADOR NEUROMUSCULAR TOXINA BOTULINICA TIPO A 100 U COM GELATINA (DET)"
"9616","BLOQUEADOR NEUROMUSCULAR TOXINA BOTULINICA TIPO A 100 U INJETAVEL (POR FRASCO-"
"9617",""
"9618","AMPOLA)"
"9619","CARDIOTONICOS/GLICOSIDEOS CARDIACOS DESLANOSIDEO  0,2MG/ML, SOL. INJ., 2ML"
"9620","CARDIOTONICOS/GLICOSIDEOS CARDIACOS DIGOXINA - ELIXIR - 0,05MG/ML FRASCO DE 60ML"
"9621","CARDIOTONICOS/GLICOSIDEOS CARDIACOS DIGOXINA 0,25MG, COMPRIMIDO"
"9622","COADJUVANTES NEOPLASICOS MESNA 400MG, SOLUCAO INJETAVEL,AMPOLA 4ML"
"9623","COLELITICO ACIDO URSODESOXICILICO 30MG/ML SOL. ORAL FR. 50ML"
"9624","COLELITICO URSODESOXICILICO, ACIDO 300 MG"
"9625","COLELITICO URSODESOXICOLICO, ACIDO  150 MG COMPRIMIDO"
"9626","COLELITICO URSODESOXICOLICO, ACIDO  50MG"
"9627","CONTRASTE RESSONANCIA MAGNETICA CONTRASTE NAO IONICO - FRASCO 15ML"
"9628","CONTRASTE RESSONANCIA MAGNETICA CONTRASTE PARA RESSONANCIA MAGNETICA A BASE"
"9629",""
"9630","DE GADOLINIO"
"9631","CONTRASTES RADIOLOGICOS BÇRIO,SULFATO 1G/ML,GEL, COPO 200 A 300ML"
"9632","CONTRASTES RADIOLOGICOS CONTRASTE RADIOLOGICO IODADO,NAO IONICO"
"9633","CONTRASTES RADIOLOGICOS CONTRASTE RADIOLOGICO, N.ION, I 350-370MG/ML, EV, FR 100ML"
"9634","CONTRASTES RADIOLOGICOS ISONITRILA FRACIO.P/MARCACAO C/TECHNETIUM TC99M C/ATE"
"9635",""
"9636","400MCI"
"9637","CONTRASTES RADIOLOGICOS OLEO DE PAPOULA IODADO 100%,480MG/ML(IODO),SOL.INJ.10ML"
"9638",""
"9639","AMP"
"9640","CONTRATORES E RELAXANTES UTERINOS ERGOMETRINA, MALEATO - 0,2MG/ML (AMP. 1ML)"
"9641","CONTRATORES E RELAXANTES UTERINOS OCITOCINA - 5UI/ML (AMP. 1ML)"
"9642","DERIVADOS DO SANGUE E SUBSTITUTOS DO PLASMA ALBUMINA HUMANA 20%, 200MG/ML,"
"9643",""
"9644","SOLUCAO INJETAVEL, 50ML"
"9645","DESCONGESTIONANTES NASAIS OXIMETAZOLINA,CLORIDRATO(ADULTO)0,5MG/ML SOL.NASAL"
"9646",""
"9647","FR.30ML"
"9648","DESCONGESTIONANTES NASAIS OXIMETAZOLINA,CLORIDRATO(PEDIATRICO)0,25MG/ML"
"9649",""
"9650","SOL.NASAL 20ML"
"9651","EMETICOS E ANTIEMETICOS ATROPINA, SULFATO - 0,25MG/ML (AMP. 1ML)"
"9652","EMETICOS E ANTIEMETICOS BROMOPRIDA 4MG/ML, SOLUCAO ORAL, FRASCO 20ML"
"9653","EMETICOS E ANTIEMETICOS BUTILBROMETO DE ESCOPOLAMINA (HIOSCINA) 20 MG/ ML, 1 ML"
"9654","EMETICOS E ANTIEMETICOS ESCOPOLAMINA 10 MG"
"9655","EMETICOS E ANTIEMETICOS METOCLOPRAMIDA - 10MG"
"9656","EMETICOS E ANTIEMETICOS METOCLOPRAMIDA - 5MG/ML (AMP. 2ML.)"
"9657","EMETICOS E ANTIEMETICOS METOCLOPRAMIDA,CLORIDRATO 4 MG/ML,SOLUCAO ORAL,FRASCO"
"9658",""
"9659","10ML"
"9660","EMETICOS E ANTIEMETICOS ONDANSETRONA, CLORIDRATO DIIDRATADO 4 MG"
"9661","EMETICOS E ANTIEMETICOS ONDANSETRONA, CLORIDRATO DIIDRATADO 4MG,"
"9662",""
"9663","2MG/ML,AMP.2ML"
"9664","EMETICOS E ANTIEMETICOS ONDANSETRONA, CLORIDRATO DIIDRATADO 8MG,"
"9665",""
"9666","2MG/ML,AMP.4ML"
"9667","ENZIMAS DIGESTIVAS PANCREATINA 25.000UI"
"9668","ENZIMAS DIGESTIVAS PANCRELIPASE 10.000 UI, CAPSULA"
"9669","ENZIMAS DIGESTIVAS SAPROPTERINA, DICLORIDRATO 100 MG"
"9670","ESPECIALIDADES FARMACEUTICAS BENZOATO DE BENZILA - LOCAO - 25% FRASCO 100 A 120"
"9671",""
"9672","ML"
"9673","ESPECIALIDADES FARMACEUTICAS BETAMETASONA, VALERATO 0,1%, 1MG/G, CREME, BISNAGA"
"9674",""
"9675","30G"
"9676","ESPECIALIDADES FARMACEUTICAS COLAGENASE 0,6 A 1,2 UI POMADA (BISNAGA 10 A 30G)"
"9677","ESPECIALIDADES FARMACEUTICAS DELTAMETRINA 0,2 MG/ML, LOCAO, FRASCO 100 A 150ML"
"9678","ESPECIALIDADES FARMACEUTICAS DELTAMETRINA 0,2 MG/ML, SHAMPOO, FRASCO 100 A"
"9679",""
"9680","150ML"
"9681","ESPECIALIDADES FARMACEUTICAS DEXAMETASONA, ACETATO 0,1%, 1MG/G, CREME, BISNAGA"
"9682",""
"9683","10 A 15G"
"9684","ESPECIALIDADES FARMACEUTICAS FIBRINOLISINA + DESOXIRIBONUCLEASE + CLORANFENICOL -"
"9685",""
"9686","POMADA"
"9687","ESPECIALIDADES FARMACEUTICAS HIDROCORTISONA - 10MG/G - CREME BISNAGA 15 A 30G"
"9688",""
"9689","ESPECIALIDADES FARMACEUTICAS ISOTRETINOINA 10MG"
"9690",""
"9691",""
"9692","ESPECIALIDADES FARMACEUTICAS ISOTRETINOINA 20MG"
"9693",""
"9694","ESPECIALIDADES FARMACEUTICAS MUPIROCINA 2%, 20MG/G, CREME, BISNAGA 15G"
"9695","ESPECIALIDADES FARMACEUTICAS RETINOL,COLECALCIFEROL E OXIDO"
"9696",""
"9697","ZINCO,POM.DERM.C/ATE 45G"
"9698","ESTIMULANTES CITRATO DE CAFEINA 20MG/ML (10MG DE CAFEINA NA BASE) AMP.1ML"
"9699","ESTIMULANTES FILGRASTIMA 300 MCG SOLUCAO INJETAVEL FRASCO AMPOLA 1ML"
"9700","ESTRATEGICO MINISTERIO DA SAUDE TALIDOMIDA 100MG (C3)"
"9701","FARMACOS NAO ASSOCIADOS OXIBUTININA,CLORIDRATO 1MG/ML - SOL. ORAL FR. 120 ML"
"9702","FARMACOS QUE ATUAM SOBRE O SISTEMA DIGESTIVO - OUTROS PENICILAMINA"
"9703",""
"9704","250MG,CAPSULA"
"9705","FARMACOS USADOS NAS AFECCOES GOTOSAS ALOPURINOL - 300MG"
"9706","FARMACOS USADOS NAS AFECCOES GOTOSAS ALOPURINOL 100 MG"
"9707","FARMACOS USADOS NAS AFECCOES GOTOSAS COLCHICINA 0,5MG"
"9708","FARMACOS USADOS NAS DOENCAS NEUROMUSCULARES BETAINTERFERONA 1A 6.000.000 UI"
"9709",""
"9710","(30 MCG) INJETAVEL"
"9711","FARMACOS USADOS NAS DOENCAS NEUROMUSCULARES FINGOLIMODE 0,5 MG"
"9712","FARMACOS USADOS NAS DOENCAS NEUROMUSCULARES FUMARATO DE DIMETILA 240MG"
"9713","FARMACOS USADOS NAS DOENCAS NEUROMUSCULARES NATALIZUMABE 300MG SIA/SUS"
"9714",""
"9715","06.04.32.011-6"
"9716","FARMACOS USADOS NAS DOENCAS NEUROMUSCULARES NEOSTIGMINA - 0,5MG/MLAMPOLA"
"9717",""
"9718","1ML"
"9719","FARMACOS USADOS NAS DOENCAS NEUROMUSCULARES SUGAMADEX SODICO 100MG/ML, SOL"
"9720",""
"9721","INJ, FR-AMPOLA 2 ML"
"9722","HIDRATANTE EMULSAO  ANTI-SEPTICA CREME HIDRATANTE COM URÓIA 10% + AC SALICILICO"
"9723",""
"9724","2% POTE 50G"
"9725","HIPNO-SEDATIVOS DEXMEDETOMIDINA, CLORIDRATO 100MCG/ML,SOL INJ FR/AMP 2 ML"
"9726","HIPNO-SEDATIVOS FLURAZEPAN - 30MG (CONTR)"
"9727","HIPNO-SEDATIVOS MIDAZOLAM 15 MG"
"9728","HIPNO-SEDATIVOS MIDAZOLAN 2 MG/ML, SOLUCAO ORAL, 10 ML"
"9729","HORMONIO HIPOCALCEMICO CALCITONINA SINT. DE SALMAO - SPRAY - 200UI/14 A 20 DOSES"
"9730","HORMONIO HIPOTALAMICO E ANALOGOS LANREOTIDA 120MG, INJETAVEL"
"9731","HORMONIO HIPOTALAMICO E ANALOGOS OCTREOTIDA 0,1MG/ML, SOLUCAO INJETAVEL,"
"9732",""
"9733","AMPOLA 1ML"
"9734","HORMONIO HIPOTALAMICO E ANALOGOS OCTREOTIDA 10 MG"
"9735","HORMONIO HIPOTALAMICO E ANALOGOS OCTREOTIDA LAR 20MG"
"9736","HORMONIO HIPOTALAMICO E ANALOGOS OCTREOTIDA LAR 30MG"
"9737","HORMONIO HIPOTALAMICO E ANALOGOS TERLIPRESSINA,ACETATO 1 MG"
"9738","HORMONIOS DA TIREOIDE E FARMACOS ANTITIREOIDEOS LEVOTIROXINA 150MCG"
"9739","HORMONIOS DA TIREOIDE E FARMACOS ANTITIREOIDEOS LEVOTIROXINA SODICA 100 MCG"
"9740","HORMONIOS DA TIREOIDE E FARMACOS ANTITIREOIDEOS LEVOTIROXINA SODICA 25MCG,"
"9741",""
"9742","COMPRIMIDO"
"9743","HORMONIOS DA TIREOIDE E FARMACOS ANTITIREOIDEOS LEVOTIROXINA SODICA 50MCG,"
"9744",""
"9745","COMPRIMIDO"
"9746","HORMONIOS DA TIREOIDE E FARMACOS ANTITIREOIDEOS PROPILTIOURACILA - 100MG"
"9747","HORMONIOS HIPOFISARIOS E COMPOSTOS RELACIONADOS ANALOGO RNGH P/APLICAÇÃO"
"9748",""
"9749","TRIMESTRAL (DETALHADA) FR/AMP"
"9750","HORMONIOS HIPOFISARIOS E COMPOSTOS RELACIONADOS CABERGOLINA 0,5MG, COMPRIMIDO"
"9751","HORMONIOS HIPOFISARIOS E COMPOSTOS RELACIONADOS DANAZOL - 100 MG"
"9752","HORMONIOS HIPOFISARIOS E COMPOSTOS RELACIONADOS DESMOPRESSINA 4MCG/ML,"
"9753",""
"9754","SOLUCAO INJETAVEL, AMPOLA 1ML"
"9755","HORMONIOS HIPOFISARIOS E COMPOSTOS RELACIONADOS DESMOPRESSINA,ACETATO"
"9756",""
"9757","0,1MG/ML SPRAY NASAL, FR. 2,5 ML"
"9758","HORMONIOS HIPOFISARIOS E COMPOSTOS RELACIONADOS DESMOPRESSINA,ACETATO"
"9759",""
"9760","0,1MG/ML,SOL. NASAL,FR. C/CÅNULA 2,5ML"
"9761","HORMONIOS HIPOFISARIOS E COMPOSTOS RELACIONADOS GLUCAGON 1MG, PÎ LIÎFILO"
"9762",""
"9763","INJETAVEL, FRASCO-AMPOLA 1ML"
"9764","HORMONIOS HIPOFISARIOS E COMPOSTOS RELACIONADOS LEUPRORRELINA, ACETATO 11,25"
"9765",""
"9766","MG INJETAVEL"
"9767","HORMONIOS HIPOFISARIOS E COMPOSTOS RELACIONADOS LEUPRORRELINA,ACETATO 3,75 MG"
"9768",""
"9769","INJETAVEL AMPOLA 1,5ML A 2ML"
"9770","HORMONIOS HIPOFISARIOS E COMPOSTOS RELACIONADOS SOMATOTROFINA HUMANA"
"9771",""
"9772","RECOMBINANTE 12UI."
"9773","HORMONIOS HIPOFISARIOS E COMPOSTOS RELACIONADOS SOMATOTROFINA HUMANA"
"9774",""
"9775","RECOMBINANTE 4UI,SOL.INJET.,FR/AMP 1ML"
"9776","HORMONIOS HIPOFISARIOS E COMPOSTOS RELACIONADOS VASOPRESSINA 20 UI/ML, SOLUCAO"
"9777",""
"9778","INJETAVEL, AMPOLA 1 ML"
"9779","HORMONIOS SEXUAIS E ANTAGONISTAS ANASTROZOL, CLORIDRATO 1MG, COMPRIMIDO"
"9780","HORMONIOS SEXUAIS E ANTAGONISTAS CIPROTERONA 50 MG"
"9781","HORMONIOS SEXUAIS E ANTAGONISTAS ESTRIOL,1 MG/G, CREME VAGINAL"
"9782","HORMONIOS SEXUAIS E ANTAGONISTAS FINASTERIDA 5 MG"
"9783","HORMONIOS SEXUAIS E ANTAGONISTAS FLUTAMIDA 250MG, COMPRIMIDO"
"9784","HORMONIOS SEXUAIS E ANTAGONISTAS PROGESTERONA MICRONIZADA 150MG ÎVULO"
"9785","HORMONIOS SEXUAIS E ANTAGONISTAS TESTOSTERONA (PROPIONATO + ENANTATO) -"
"9786",""
"9787","250MG/ML (AMP. 1ML)"
"9788","HORMONIOS SEXUAIS E ANTAGONISTAS TESTOSTERONA,"
"9789",""
"9790","PROPIONATO+ISOCAPROATO+DECANOATO+FEMPROPIONATO"
"9791","HORMONIOS SEXUAIS E ANTAGONISTAS TRIPTORELINA  3,75MG - INJETAVEL"
"9792","HORMONIOS SEXUAIS E ANTAGONISTAS TRIPTORRELINA 11,25MG INJETAVEL (06.04.11.006-5)"
"9793","IMPORTADOS HIDROCORTISONE 10MG COMPRIMIDO"
"9794","IMPORTADOS MIGLUSTATE 100MG06.04.63.001-8"
"9795","IMPORTADOS OXIBUTININA, CLORIDRATO 5MG"
"9796","IMPORTADOS PROSTAGLANDINA - 500MCG SOLUCAO INJETAVEL (AMPOLA 1ML)"
"9797","IMUNOSSUPRESSORES CICLOSPORINA  25MG CAPSULA"
"9798","IMUNOSSUPRESSORES CICLOSPORINA 100MG CAPSULA"
"9799","IMUNOSSUPRESSORES CICLOSPORINA 100MG/ML, SOLUCAO ORAL, FR.50ML"
"9800","IMUNOSSUPRESSORES CICLOSPORINA 50MG CAPSULA"
"9801","IMUNOSSUPRESSORES INFLIXIMAB 10 MG/ML, AMPOLA 10 ML"
"9802","IMUNOSSUPRESSORES LEFLUNOMIDE 20MG"
"9803","IMUNOSSUPRESSORES MICOFENOLATO SODICO 180MG"
"9804","IMUNOSSUPRESSORES MICOFENOLATO SODICO 360MG"
"9805","IMUNOSSUPRESSORES MICOFENOLATO, MOFETIL - 500MG CAPSULA"
"9806","IMUNOSSUPRESSORES SIROLIMO 1 MG (POR DRAGEA)(DET)"
"9807","IMUNOSSUPRESSORES SIROLIMO 2 MG"
"9808","IMUNOSSUPRESSORES TOCILIZUMABE 20MG/ML, INJETAVEL, FRASCO-AMPOLA 4ML"
"9809","IMUNOTERAPICOS - IMUNIZACAO ATIVA EVEROLIMO 0,5 MG"
"9810","IMUNOTERAPICOS - IMUNIZACAO ATIVA TACROLIMUS 1 MG"
"9811","IMUNOTERAPICOS - IMUNIZACAO PASSIVA IMUNOGLOBULINA ANTI RHO DE 250 A"
"9812",""
"9813","300MCG,FRASCO/AMP.OU S.P."
"9814","IMUNOTERAPICOS - IMUNIZACAO PASSIVA IMUNOGLOBULINA ANTITETÅNICA"
"9815",""
"9816","250UI,SOL.INJET.FR/AMP/SERIN.1ML"
"9817","IMUNOTERAPICOS - IMUNIZACAO PASSIVA IMUNOGLOBULINA DE COELHO ANTITIMÎCITOS"
"9818",""
"9819","HUMANOS 25MG(DET)"
"9820","IMUNOTERAPICOS - IMUNIZACAO PASSIVA IMUNOGLOBULINA HUMANA IV5,0G SOL.INJ"
"9821","IMUNOTERAPICOS - IMUNIZACAO PASSIVA MYCOBACTERIUM BOVIS 40MG PO LIOFILO P/ SOL."
"9822",""
"9823","INJETAVEL"
"9824","IMUNOTERAPICOS - IMUNIZACAO PASSIVA PALIVIZUMABE 100 MG, FRASCO/AMPOLA"
"9825","INIBIDOR DE INFLUXO DE IONS CA++ NIMODIPINA 30 MG COMPRIMIDO"
"9826","LAXANTES BISACODIL 5 MG"
"9827","LAXANTES GLICERINA - SUPOSITORIO/ADULTO"
"9828","LAXANTES GLICERINA LIQUIDA, FRASCO 100 ML"
"9829","LAXANTES GLICERINA LIQUIDA, FRASCO 1000ML"
"9830","LAXANTES LACTULOSE 667MG/ML, SOLUCAO ORAL, FRASCO 100 A 200 ML"
"9831","LAXANTES OLEOMINERAL, FRASCO 100 A 200 ML"
"9832","LAXANTES PICOSSULFATO DE SODIO 7,5 MG/ML SOLUCAO ORAL, 20 ML"
"9833","LAXANTES PLANTAGO OVATA, PÎ, ENVELOPE COM 5  A 10 G"
"9834","LAXANTES POLIETILENOGLICOL 4000 (PEG) SACHE 10G"
"9835","LAXANTES SODIO MONOFOSFATO MONOBASICO + SODIO MONOFOSFATO DIBASICO"
"9836","MANIPULADOS ACIDO ACÔTICO 3%, SOLUCAO REAGENTE, FRASCO 50 ML"
"9837","MANIPULADOS ACIDO TRICLORO-ACÔTICO 70%, SOLUCAO, FRASCO 10 ML"
"9838","MANIPULADOS ACIDO TRICLORO-ACÔTICO 80%, SOLUCAO, FRASCO 5 ML"
"9839","MANIPULADOS CREME LANETTE + CETOCONAZOL 2%, CREME, TUBO 30 G"
"9840","MANIPULADOS CREME LANETTE, TUBO 100 G"
"9841","MANIPULADOS PODOFILINA 25%, 250MG/ML, SOLUCAO ALCOÎLICA, FRASCO 10 ML"
"9842","MANIPULADOS SUB-GALATO DE BISMUTO, SACHE 5 G"
"9843","MANIPULADOS VASELINA LIQUIDA EMBALAGEM C/ 1 LITRO (DETALHADA)"
"9844","MANIPULADOS VASELINA LIQUIDA P/USO HOSPITALAR,SOLUCAO OLEOSA,FRA. 100ML"
"9845","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450)  BUPRENORFINA, CLORIDRATO"
"9846",""
"9847","5MG ADESIVO"
"9848","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450)  CABOZANTINIBE, 20MG"
"9849","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450)  CANETA DE EPINEFRINA AUTO"
"9850",""
"9851","INJETORA 0,3 MG"
"9852","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450)  COENZIMA Q10 10MG/ML,"
"9853",""
"9854","SOLUCAO ORAL, 50ML-MANIPULADO"
"9855","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450)  FERRO III, POLIMALTOSADO"
"9856",""
"9857","10MG/ML, XAROPE, 120ML"
"9858","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450)  FLUOXETINA 20MG PROZAC"
"9859","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450)  FLUTICASONA"
"9860",""
"9861","100+UMECLIDINIO 62,5+VILANTEROL 25, 30DOSES"
"9862","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450)  FOSFATO ACIDO DE POTASSIO E"
"9863",""
"9864","FOSFORO 2MEQ/ML-MANIPULADO"
"9865","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450)"
"9866",""
"9867","GLICOSAM.1,5G+CONDROIT.1,2G+MELOX.4MG - MANIPULADO"
"9868","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450)  INSULINA HUMANA NPH"
"9869",""
"9870","100UI/ML, SUSP. INJ., SIST. APLIC. 3ML"
"9871","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450)  IXAZOMIBE, CITRATO 4MG"
"9872","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450)  OXALATO DE ESCITALOPRAN"
"9873",""
"9874","20MG - ESCILEX"
"9875","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450)  PAROXETINA, CLORIDRATO"
"9876",""
"9877","20MG - PAXTRAT"
"9878","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450)  RAMIPRIL 2,5MG - NAPRIX"
"9879","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450)  RIVAROXABAN, 2,5MG"
"9880","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450)  SUPLEM.CALCIO 500MG+VIT.D"
"9881",""
"9882","200UI,S/ACUCAR,TABLETE MASTIGAVEL"
"9883","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450)  TOPIRAMATO 100MG - VIDMAX"
"9884","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450)  VIT. D3 10.000UI+VIT. A"
"9885",""
"9886","10.00UI+MK7 100MCG, 10ML-MANIPULADO"
"9887","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450)"
"9888",""
"9889","5HTP+COBAMANIDA+FOLINICO+B6+LACTIUM+THEANINA+TAUR-MANIPULADO"
"9890","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) 8-METOXIPSORALENO 0,01%"
"9891",""
"9892","(MOP), POMADA QSP, 120G-MANIPULADO"
"9893","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) ABEMACICLIBE 150 MG"
"9894","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) ABIRATERONA, ACETADO 250"
"9895",""
"9896","MG - ZYTIGA"
"9897","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) ACALABRUTINIBE 100MG"
"9898","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) ACETILCISTEINA 20MG/ML,"
"9899",""
"9900","XAROPE, 120ML"
"9901","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) ACIDO ACETILSALICILICO 81MG,"
"9902",""
"9903","CPR. REVEST. GASTRORRESISTENTE"
"9904","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) ACIDO ACETILSALICILICO"
"9905",""
"9906","CARDIO 81MG,CP.REVEST-SOMALGIN CARDIO"
"9907","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) ACIDO"
"9908",""
"9909","ACETILSALICILICO+ALANTOINA+LCD,SHAMPO,150ML-MANIPULADO"
"9910","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) ALECTINIB 150 MG"
"9911","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) ALFAESTRADIOL 0,25 MG,"
"9912",""
"9913","SOLUCAO CAPILAR, FRASCO 100 ML"
"9914","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) ALFAGALSIDASE 1MG/ML,"
"9915",""
"9916","SOLUCAO PARA INFUSAO, 3,5ML"
"9917","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) ALFASSEBELIPASE 2MG/ML,"
"9918",""
"9919","10ML"
"9920","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) ALIROCUMABE 150MG/ML, SOL."
"9921",""
"9922","INJ., CANETA PREENC.1ML"
"9923","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) ALIROCUMABE 75MG/ML, SOL."
"9924",""
"9925","INJ., CANETA PREENC.1ML"
"9926","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) ALOGLIPTINA 25MG +"
"9927",""
"9928","PIOGLITAZONA 30MG - NESINA PIO"
"9929","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) ALOGLIPTINA, BENZOATO 12,5"
"9930",""
"9931","MG, CP REV"
"9932","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) ALOGLIPTINA, BENZOATO 25 MG,"
"9933",""
"9934","COMPRIMIDO REVESTIDO"
"9935","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) ALPELISIBE  150 MG"
"9936","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) AMBROXOL,CLORIDRATO"
"9937",""
"9938","7,5MG/ML,SOL.P/NEBULIZAÇÃO,FLACONETE 2ML"
"9939","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) ANAKINRA 100MG/0,67ML, SOL."
"9940",""
"9941","INJ., SERINGA PREENCHIDA"
